"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"589",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9397.05,9398.28
"590",3,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",9403.19,9403.95
"591",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9414.72,9415.72
"592",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9417.41,9418.46
"593",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9418.46,9419.58
"594",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9420.38,9421.68
"595",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9422.94,9423.62
"596",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9426.27,9427.09
"597",1,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9429.74,9430.35
"598",1,1,2,2,1,TRUE,"0054_000603_scrubbed.wav",9434.11,9436.6
"599",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9437.78,9443.19
"600",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9444,9446.9
"601",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9446.9,9447.91
"602",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9447.91,9450.9
"603",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9452.02,9463.36
"604",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9466.71,9468.24
"605",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",9470.02,9470.62
"606",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9471.5,9472.56
"607",3,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9473.91,9474.51
"608",3,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9652.62,9653.32
"609",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",9716.97,9717.57
"610",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10177.06,10177.72
"611",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10194.19,10195.45
"612",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10198.48,10199.08
"613",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",10199.08,10199.88
"614",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10201.82,10202.63
"615",3,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",10203.45,10204.26
"616",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10206.19,10206.86
"617",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10206.86,10208.29
"618",3,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",10209.59,10210.82
