"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"811",5,5,5,5,FALSE
"812",5,5,5,5,FALSE
"813",3,3,2,3,FALSE
"814",3,3,2,3,FALSE
"815",2,2,1,2,FALSE
"816",2,2,1,2,FALSE
"817",1,2,1,1,TRUE
"818",1,2,1,1,TRUE
"819",5,5,5,5,FALSE
"820",5,5,5,5,FALSE
"821",2,2,1,2,FALSE
"822",5,5,5,5,FALSE
"823",2,2,1,2,FALSE
"824",4,3,3,3,FALSE
"825",4,4,3,4,FALSE
"826",2,2,2,2,FALSE
"827",2,2,1,2,FALSE
"828",2,2,1,2,FALSE
"829",1,2,1,1,TRUE
"830",1,2,1,1,TRUE
"831",1,2,1,1,TRUE
"832",5,5,5,5,FALSE
"833",2,2,1,2,FALSE
"834",2,2,2,2,FALSE
"835",4,4,3,4,FALSE
"836",4,4,3,4,FALSE
"837",2,2,1,2,FALSE
"838",3,3,2,3,FALSE
"839",3,2,2,2,FALSE
"840",2,2,2,2,FALSE
"841",2,2,2,2,FALSE
"842",1,2,1,1,TRUE
"843",3,3,2,3,FALSE
"844",3,2,2,2,FALSE
"845",2,2,1,2,FALSE
"846",3,2,2,2,FALSE
"847",3,4,3,3,FALSE
"848",4,4,3,4,FALSE
"849",5,5,5,5,FALSE
"850",5,5,5,5,FALSE
"851",5,5,5,5,FALSE
"852",5,5,5,5,FALSE
"853",2,2,2,2,FALSE
"854",2,2,2,2,FALSE
