"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"116","0340_000301_scrubbed.wav",2033.52,2034.8,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"117","0340_000301_scrubbed.wav",2078.01,2079.4,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"118","0340_000301_scrubbed.wav",2082.68,2083.62,1,2,2,4,3,2,2,3,2,1,2,2,2,2,2,2,2,FALSE
"119","0340_000301_scrubbed.wav",2084.42,2085.02,1,2,2,4,3,2,3,3,2,2,2,2,2,2,2,2,2,FALSE
"120","0340_000301_scrubbed.wav",2089.77,2090.64,1,2,2,4,2,2,3,3,2,2,2,2,2,2,2,2,2,FALSE
"121","0340_000301_scrubbed.wav",2109.03,2109.76,2,2,2,4,3,3,3,4,2,2,2,3,2,2,3,3,2,FALSE
"122","0340_000301_scrubbed.wav",2119.91,2120.91,2,3,2,4,2,3,3,2,2,2,2,2,3,2,3,2,2,FALSE
"123","0340_000301_scrubbed.wav",2127.76,2129.76,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,FALSE
"124","0340_000301_scrubbed.wav",2139.03,2139.98,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"125","0340_000301_scrubbed.wav",2146.76,2147.66,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"126","0340_000301_scrubbed.wav",2154.07,2155.04,2,2,2,4,2,2,2,2,2,2,2,1,1,2,2,2,2,FALSE
