"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"111","0054_000603_scrubbed.wav",2015.88,2016.86,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,FALSE
"112","0054_000603_scrubbed.wav",2022.93,2023.58,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,FALSE
"113","0054_000603_scrubbed.wav",2024.9,2026.07,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"114","0054_000603_scrubbed.wav",2030.79,2031.39,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,FALSE
"115","0054_000603_scrubbed.wav",2039.07,2039.67,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"116","0054_000603_scrubbed.wav",2047.64,2049.15,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"117","0054_000603_scrubbed.wav",2285.39,2285.99,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"118","0054_000603_scrubbed.wav",2640.67,2641.37,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,FALSE
"119","0054_000603_scrubbed.wav",2792.41,2793.01,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,5,5,5,FALSE
"120","0054_000603_scrubbed.wav",2797.96,2799.44,4,4,5,5,5,3,4,5,5,5,4,5,5,5,3,4,1,5,5,5,FALSE
