"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1393","0196_000902_scrubbed.wav",35864.7,35865.36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1394","0196_000902_scrubbed.wav",35871.77,35873.36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1395","0196_000902_scrubbed.wav",35887.75,35888.36,1,2,2,2,2,2,2,2,5,2,2,1,2,5,2,2,2,FALSE
"1396","0196_000902_scrubbed.wav",35889.59,35892.01,1,2,2,5,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"1397","0196_000902_scrubbed.wav",35892.9,35893.5,5,4,5,5,5,5,5,2,5,2,3,5,5,5,5,5,5,FALSE
"1398","0196_000902_scrubbed.wav",35894.47,35895.47,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1399","0196_000902_scrubbed.wav",35895.47,35896.09,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1400","0196_000902_scrubbed.wav",35897.44,35898.44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1401","0196_000902_scrubbed.wav",35900.31,35901.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1402","0196_000902_scrubbed.wav",35904.15,35905.41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1403","0196_000902_scrubbed.wav",35907.72,35908.38,1,2,2,2,1,1,2,2,1,5,2,1,1,1,1,2,1,TRUE
"1404","0196_000902_scrubbed.wav",35908.38,35909.18,2,3,2,2,2,3,3,2,3,3,2,2,2,2,2,3,2,FALSE
